TIPO DE VICTIMA,ANIO OCURRENCIA,DANE OCURRENCIA,DEPARTAMENTO OCURRENCIA,MUNICIPIO OCURRENCIA,HECHO VICTIMIZANTE,DISCAPACIDAD,GENERO,CICLO VITAL,PERTENENCIA ETNICA,TOTAL
V’ctimas de conflicto armado,2014,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 0 y 5,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2015,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),2
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2012,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2012,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2013,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Con discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2013,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2013,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2014,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Con discapacidad,Mujer,entre 0 y 5,Negro(a) o Afrocolombiano(a),1
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2014,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2014,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Negro(a) o Afrocolombiano(a),1
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2014,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2014,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),2
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2015,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,4
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2015,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2000,19110,CAUCA,BUENOS AIRES,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2000,19110,CAUCA,BUENOS AIRES,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2001,19110,CAUCA,BUENOS AIRES,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,2
V’ctimas de conflicto armado,2001,19110,CAUCA,BUENOS AIRES,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),2
V’ctimas de conflicto armado,2001,19110,CAUCA,BUENOS AIRES,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,2
V’ctimas de conflicto armado,2001,19110,CAUCA,BUENOS AIRES,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2002,19110,CAUCA,BUENOS AIRES,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),2
V’ctimas de conflicto armado,2002,19110,CAUCA,BUENOS AIRES,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2002,19110,CAUCA,BUENOS AIRES,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2003,19110,CAUCA,BUENOS AIRES,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2003,19110,CAUCA,BUENOS AIRES,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Negro(a) o Afrocolombiano(a),3
